record_id,student_id,student_name,roll_number,date,status,confidence,class_name,subject_name,detection_method,camera_id,frame_count,processing_time_ms,created_at
rec-000079,student-029,Student 29,2024-CS-029,2026-03-31,present,97.74,Class A,English,manual,,20,0,2026-03-31T09:37:00Z
rec-000080,student-030,Student 30,2024-CS-030,2026-03-31,present,100,Class A,Mathematics,face-api,cam-classroom-02,17,129.7,2026-03-31T09:24:00Z
rec-000081,student-031,Student 31,2024-CS-031,2026-03-31,present,86.77,Class B,Computer Science,yolo-arcface,cam-classroom-01,11,130.2,2026-03-31T09:30:00Z
rec-000082,student-032,Student 32,2024-CS-032,2026-03-31,present,66.92,Class C,Mathematics,yolo-arcface,cam-lab-01,10,77.7,2026-03-31T09:02:00Z
rec-000083,student-033,Student 33,2024-CS-033,2026-03-31,present,95.8,Class A,Physics,face-api,cam-classroom-01,22,111.7,2026-03-31T09:30:00Z
rec-000084,student-034,Student 34,2024-CS-034,2026-03-31,present,88.13,Class B,Physics,manual,,11,0,2026-03-31T09:38:00Z
rec-000085,student-035,Student 35,2024-CS-035,2026-03-31,present,90.35,Class A,Physics,manual,,25,0,2026-03-31T09:19:00Z
rec-000086,student-036,Student 36,2024-CS-036,2026-03-31,present,97.12,Class B,Physics,manual,,15,0,2026-03-31T09:04:00Z
rec-000087,student-037,Student 37,2024-CS-037,2026-03-31,present,92.83,Class A,Computer Science,manual,,10,0,2026-03-31T09:54:00Z
rec-000088,student-038,Student 38,2024-CS-038,2026-03-31,present,95.66,Class B,Chemistry,manual,,4,0,2026-03-31T09:27:00Z
rec-000089,student-039,Student 39,2024-CS-039,2026-03-31,present,81.94,Class B,English,face-api,cam-classroom-01,19,116.2,2026-03-31T09:27:00Z
rec-000090,student-040,Student 40,2024-CS-040,2026-03-31,absent,28.09,Class C,English,manual,,0,0,2026-03-31T09:45:00Z
rec-000091,student-041,Student 41,2024-CS-041,2026-03-31,present,95.26,Class C,Chemistry,manual,,11,0,2026-03-31T09:49:00Z
rec-000092,student-042,Student 42,2024-CS-042,2026-03-31,present,98.52,Class A,Computer Science,yolo-arcface,cam-classroom-02,21,111.0,2026-03-31T09:15:00Z
rec-000093,student-043,Student 43,2024-CS-043,2026-03-31,present,100,Class C,English,manual,,22,0,2026-03-31T09:21:00Z
rec-000094,student-044,Student 44,2024-CS-044,2026-03-31,present,94.25,Class B,Computer Science,face-api,cam-classroom-02,14,99.6,2026-03-31T09:56:00Z
rec-000095,student-045,Student 45,2024-CS-045,2026-03-31,present,97.58,Class A,Physics,manual,,9,0,2026-03-31T09:46:00Z
rec-000096,student-046,Student 46,2024-CS-046,2026-03-31,present,86.77,Class C,English,manual,,10,0,2026-03-31T09:41:00Z
rec-000097,student-047,Student 47,2024-CS-047,2026-03-31,present,90.94,Class B,Physics,yolo-arcface,cam-classroom-02,10,122.4,2026-03-31T09:42:00Z
rec-000098,student-048,Student 48,2024-CS-048,2026-03-31,present,84.72,Class B,Computer Science,yolo-arcface,cam-lab-01,20,128.2,2026-03-31T09:29:00Z
rec-000099,student-049,Student 49,2024-CS-049,2026-03-31,present,91.97,Class A,Chemistry,face-api,cam-lab-01,13,140.3,2026-03-31T09:11:00Z
rec-000100,student-050,Student 50,2024-CS-050,2026-03-31,present,91.65,Class C,Computer Science,manual,,19,0,2026-03-31T09:06:00Z
rec-000101,student-001,Student 1,2024-CS-001,2026-04-01,late,81.58,Class C,Chemistry,yolo-arcface,cam-classroom-01,10,98.2,2026-04-01T09:17:00Z
rec-000102,student-002,Student 2,2024-CS-002,2026-04-01,present,95.9,Class C,English,face-api,cam-classroom-01,20,94.9,2026-04-01T09:55:00Z
rec-000103,student-003,Student 3,2024-CS-003,2026-04-01,present,100,Class A,Computer Science,yolo-arcface,cam-classroom-02,18,83.8,2026-04-01T09:07:00Z
rec-000104,student-004,Student 4,2024-CS-004,2026-04-01,late,88.97,Class A,Physics,yolo-arcface,cam-classroom-01,18,170.4,2026-04-01T09:51:00Z
rec-000105,student-005,Student 5,2024-CS-005,2026-04-01,present,95.79,Class B,Chemistry,yolo-arcface,cam-lab-01,5,140.1,2026-04-01T09:50:00Z
rec-000106,student-006,Student 6,2024-CS-006,2026-04-01,present,91.88,Class B,English,manual,,15,0,2026-04-01T09:19:00Z
rec-000107,student-007,Student 7,2024-CS-007,2026-04-01,late,94.82,Class C,Mathematics,manual,,4,0,2026-04-01T09:48:00Z
rec-000108,student-008,Student 8,2024-CS-008,2026-04-01,present,91.68,Class A,Chemistry,face-api,cam-classroom-01,11,107.5,2026-04-01T09:10:00Z
rec-000109,student-009,Student 9,2024-CS-009,2026-04-01,present,89.03,Class A,Computer Science,yolo-arcface,cam-lab-01,25,92.4,2026-04-01T09:18:00Z
rec-000110,student-010,Student 10,2024-CS-010,2026-04-01,present,89.23,Class C,Chemistry,yolo-arcface,cam-lab-01,5,85.2,2026-04-01T09:51:00Z
rec-000111,student-011,Student 11,2024-CS-011,2026-04-01,absent,0,Class B,Mathematics,manual,,0,0,2026-04-01T09:34:00Z
rec-000112,student-012,Student 12,2024-CS-012,2026-04-01,present,94.8,Class A,Physics,face-api,cam-classroom-02,5,145.3,2026-04-01T09:38:00Z
rec-000113,student-013,Student 13,2024-CS-013,2026-04-01,present,87.51,Class C,Computer Science,face-api,cam-lab-01,17,106.1,2026-04-01T09:25:00Z
rec-000114,student-014,Student 14,2024-CS-014,2026-04-01,absent,12.5,Class A,Chemistry,manual,,0,0,2026-04-01T09:02:00Z
rec-000115,student-015,Student 15,2024-CS-015,2026-04-01,late,87.97,Class C,Computer Science,manual,,13,0,2026-04-01T09:01:00Z
rec-000116,student-016,Student 16,2024-CS-016,2026-04-01,present,100,Class A,Computer Science,manual,,21,0,2026-04-01T09:36:00Z
rec-000117,student-017,Student 17,2024-CS-017,2026-04-01,present,89.3,Class B,Physics,face-api,cam-lab-01,18,77.1,2026-04-01T09:27:00Z
rec-000118,student-018,Student 18,2024-CS-018,2026-04-01,present,91.23,Class B,Mathematics,yolo-arcface,cam-classroom-01,5,79.7,2026-04-01T09:21:00Z
rec-000119,student-019,Student 19,2024-CS-019,2026-04-01,present,93.15,Class C,Mathematics,yolo-arcface,cam-classroom-02,12,98.9,2026-04-01T09:05:00Z
rec-000120,student-020,Student 20,2024-CS-020,2026-04-01,present,86.82,Class C,Mathematics,yolo-arcface,cam-lab-01,6,160.0,2026-04-01T09:55:00Z
rec-000121,student-021,Student 21,2024-CS-021,2026-04-01,present,90.86,Class B,English,yolo-arcface,cam-classroom-01,4,134.5,2026-04-01T09:13:00Z
rec-000122,student-022,Student 22,2024-CS-022,2026-04-01,present,97.25,Class A,Mathematics,face-api,cam-lab-01,12,62.7,2026-04-01T09:38:00Z
rec-000123,student-023,Student 23,2024-CS-023,2026-04-01,present,95.52,Class B,Chemistry,manual,,8,0,2026-04-01T09:00:00Z
rec-000124,student-024,Student 24,2024-CS-024,2026-04-01,present,100,Class A,Physics,face-api,cam-classroom-02,17,188.9,2026-04-01T09:59:00Z
rec-000125,student-025,Student 25,2024-CS-025,2026-04-01,present,87.21,Class A,English,yolo-arcface,cam-lab-01,18,118.2,2026-04-01T09:09:00Z
rec-000126,student-026,Student 26,2024-CS-026,2026-04-01,present,98.3,Class B,English,face-api,cam-classroom-02,5,97.5,2026-04-01T09:59:00Z
rec-000127,student-027,Student 27,2024-CS-027,2026-04-01,present,91.95,Class C,Chemistry,manual,,12,0,2026-04-01T09:42:00Z
rec-000128,student-028,Student 28,2024-CS-028,2026-04-01,present,92.43,Class C,Chemistry,face-api,cam-classroom-02,17,84.3,2026-04-01T09:29:00Z
rec-000129,student-029,Student 29,2024-CS-029,2026-04-01,absent,26.69,Class A,Physics,manual,,0,0,2026-04-01T09:36:00Z
rec-000130,student-030,Student 30,2024-CS-030,2026-04-01,present,95.81,Class C,English,yolo-arcface,cam-classroom-02,18,87.7,2026-04-01T09:42:00Z
rec-000131,student-031,Student 31,2024-CS-031,2026-04-01,present,90.01,Class C,Chemistry,face-api,cam-classroom-02,7,101.2,2026-04-01T09:55:00Z
rec-000132,student-032,Student 32,2024-CS-032,2026-04-01,present,93.55,Class C,Physics,yolo-arcface,cam-classroom-02,3,104.8,2026-04-01T09:55:00Z
rec-000133,student-033,Student 33,2024-CS-033,2026-04-01,present,95.82,Class C,English,yolo-arcface,cam-lab-01,13,157.1,2026-04-01T09:05:00Z
rec-000134,student-034,Student 34,2024-CS-034,2026-04-01,late,97.5,Class C,English,yolo-arcface,cam-lab-01,13,56.6,2026-04-01T09:02:00Z
rec-000135,student-035,Student 35,2024-CS-035,2026-04-01,present,92.87,Class C,Mathematics,yolo-arcface,cam-classroom-02,10,180.5,2026-04-01T09:06:00Z
rec-000136,student-036,Student 36,2024-CS-036,2026-04-01,present,91.21,Class B,Mathematics,face-api,cam-classroom-01,25,102.4,2026-04-01T09:20:00Z
rec-000137,student-037,Student 37,2024-CS-037,2026-04-01,present,90.43,Class C,English,face-api,cam-lab-01,10,157.3,2026-04-01T09:43:00Z
rec-000138,student-038,Student 38,2024-CS-038,2026-04-01,present,93.17,Class C,Physics,yolo-arcface,cam-classroom-02,22,134.2,2026-04-01T09:58:00Z
rec-000139,student-039,Student 39,2024-CS-039,2026-04-01,present,92.96,Class C,Mathematics,yolo-arcface,cam-classroom-02,11,176.7,2026-04-01T09:57:00Z
rec-000140,student-040,Student 40,2024-CS-040,2026-04-01,present,89.75,Class B,English,yolo-arcface,cam-lab-01,21,115.5,2026-04-01T09:16:00Z
rec-000141,student-041,Student 41,2024-CS-041,2026-04-01,present,84.59,Class A,English,yolo-arcface,cam-lab-01,6,265.5,2026-04-01T09:22:00Z
rec-000142,student-042,Student 42,2024-CS-042,2026-04-01,present,97.01,Class B,Mathematics,manual,,15,0,2026-04-01T09:36:00Z
rec-000143,student-043,Student 43,2024-CS-043,2026-04-01,late,87.69,Class C,English,manual,,4,0,2026-04-01T09:53:00Z
rec-000144,student-044,Student 44,2024-CS-044,2026-04-01,late,84.77,Class A,Physics,manual,,14,0,2026-04-01T09:39:00Z
rec-000145,student-045,Student 45,2024-CS-045,2026-04-01,present,100,Class C,Physics,manual,,24,0,2026-04-01T09:40:00Z
rec-000146,student-046,Student 46,2024-CS-046,2026-04-01,present,90.82,Class C,Computer Science,yolo-arcface,cam-lab-01,4,111.9,2026-04-01T09:08:00Z
rec-000147,student-047,Student 47,2024-CS-047,2026-04-01,present,89.22,Class A,Chemistry,face-api,cam-classroom-02,9,183.7,2026-04-01T09:33:00Z
rec-000148,student-048,Student 48,2024-CS-048,2026-04-01,present,91.49,Class C,Computer Science,yolo-arcface,cam-classroom-01,12,143.7,2026-04-01T09:29:00Z
rec-000149,student-049,Student 49,2024-CS-049,2026-04-01,absent,54.78,Class C,English,manual,,0,0,2026-04-01T09:54:00Z
rec-000150,student-050,Student 50,2024-CS-050,2026-04-01,present,100,Class C,Mathematics,yolo-arcface,cam-classroom-02,5,121.7,2026-04-01T09:23:00Z
rec-000151,student-001,Student 1,2024-CS-001,2026-04-02,present,91.03,Class C,English,manual,,11,0,2026-04-02T09:52:00Z
rec-000152,student-002,Student 2,2024-CS-002,2026-04-02,present,85.78,Class C,Chemistry,yolo-arcface,cam-classroom-02,3,163.3,2026-04-02T09:58:00Z
rec-000153,student-003,Student 3,2024-CS-003,2026-04-02,present,86.89,Class B,English,yolo-arcface,cam-classroom-01,25,74.5,2026-04-02T09:08:00Z
rec-000154,student-004,Student 4,2024-CS-004,2026-04-02,present,100,Class A,Chemistry,face-api,cam-classroom-01,6,150.7,2026-04-02T09:24:00Z
rec-000155,student-005,Student 5,2024-CS-005,2026-04-02,present,87.26,Class C,Physics,manual,,16,0,2026-04-02T09:56:00Z
rec-000156,student-006,Student 6,2024-CS-006,2026-04-02,present,83.32,Class B,Mathematics,face-api,cam-lab-01,18,49.3,2026-04-02T09:23:00Z
rec-000157,student-007,Student 7,2024-CS-007,2026-04-02,present,82.57,Class C,Computer Science,yolo-arcface,cam-lab-01,10,131.3,2026-04-02T09:57:00Z
rec-000158,student-008,Student 8,2024-CS-008,2026-04-02,absent,24.59,Class B,Mathematics,manual,,0,0,2026-04-02T09:25:00Z
rec-000159,student-009,Student 9,2024-CS-009,2026-04-02,present,100,Class C,Physics,yolo-arcface,cam-lab-01,5,100.6,2026-04-02T09:40:00Z
rec-000160,student-010,Student 10,2024-CS-010,2026-04-02,present,100,Class C,Physics,face-api,cam-classroom-01,7,129.4,2026-04-02T09:53:00Z
rec-000161,student-011,Student 11,2024-CS-011,2026-04-02,present,93.11,Class A,Chemistry,face-api,cam-classroom-01,13,146.9,2026-04-02T09:17:00Z
rec-000162,student-012,Student 12,2024-CS-012,2026-04-02,late,90.59,Class A,Mathematics,yolo-arcface,cam-classroom-01,8,136.7,2026-04-02T09:00:00Z
rec-000163,student-013,Student 13,2024-CS-013,2026-04-02,present,93.91,Class B,Mathematics,face-api,cam-classroom-01,8,68.2,2026-04-02T09:47:00Z
rec-000164,student-014,Student 14,2024-CS-014,2026-04-02,present,93.64,Class C,Chemistry,yolo-arcface,cam-classroom-01,14,129.5,2026-04-02T09:28:00Z
rec-000165,student-015,Student 15,2024-CS-015,2026-04-02,present,93.68,Class B,English,manual,,19,0,2026-04-02T09:41:00Z
rec-000166,student-016,Student 16,2024-CS-016,2026-04-02,absent,28.5,Class A,English,manual,,0,0,2026-04-02T09:54:00Z
rec-000167,student-017,Student 17,2024-CS-017,2026-04-02,present,89.28,Class A,Computer Science,yolo-arcface,cam-lab-01,5,77.3,2026-04-02T09:09:00Z
rec-000168,student-018,Student 18,2024-CS-018,2026-04-02,present,90.67,Class B,English,manual,,25,0,2026-04-02T09:38:00Z
rec-000169,student-019,Student 19,2024-CS-019,2026-04-02,present,100,Class C,Mathematics,yolo-arcface,cam-lab-01,19,105.6,2026-04-02T09:41:00Z
rec-000170,student-020,Student 20,2024-CS-020,2026-04-02,late,85.75,Class B,English,manual,,9,0,2026-04-02T09:56:00Z
rec-000171,student-021,Student 21,2024-CS-021,2026-04-02,present,88.5,Class B,English,yolo-arcface,cam-classroom-02,6,157.3,2026-04-02T09:42:00Z
rec-000172,student-022,Student 22,2024-CS-022,2026-04-02,present,100,Class A,Mathematics,yolo-arcface,cam-classroom-01,5,102.5,2026-04-02T09:27:00Z
rec-000173,student-023,Student 23,2024-CS-023,2026-04-02,present,91.23,Class C,Chemistry,manual,,4,0,2026-04-02T09:35:00Z
rec-000174,student-024,Student 24,2024-CS-024,2026-04-02,present,81.06,Class B,Mathematics,face-api,cam-classroom-02,16,84.1,2026-04-02T09:38:00Z
rec-000175,student-025,Student 25,2024-CS-025,2026-04-02,present,99.06,Class B,Physics,face-api,cam-classroom-01,21,96.8,2026-04-02T09:22:00Z
rec-000176,student-026,Student 26,2024-CS-026,2026-04-02,late,87.78,Class B,Chemistry,yolo-arcface,cam-lab-01,6,124.1,2026-04-02T09:39:00Z
rec-000177,student-027,Student 27,2024-CS-027,2026-04-02,present,84.19,Class C,Computer Science,manual,,3,0,2026-04-02T09:01:00Z
rec-000178,student-028,Student 28,2024-CS-028,2026-04-02,present,90.49,Class A,Physics,yolo-arcface,cam-classroom-01,14,87.1,2026-04-02T09:36:00Z
rec-000179,student-029,Student 29,2024-CS-029,2026-04-02,present,100,Class C,Chemistry,face-api,cam-classroom-01,5,147.8,2026-04-02T09:24:00Z
rec-000180,student-030,Student 30,2024-CS-030,2026-04-02,present,88.88,Class C,Chemistry,manual,,13,0,2026-04-02T09:05:00Z
rec-000181,student-031,Student 31,2024-CS-031,2026-04-02,late,94.47,Class A,Computer Science,face-api,cam-classroom-02,8,120.4,2026-04-02T09:42:00Z
rec-000182,student-032,Student 32,2024-CS-032,2026-04-02,present,90.08,Class B,Computer Science,manual,,17,0,2026-04-02T09:13:00Z
rec-000183,student-033,Student 33,2024-CS-033,2026-04-02,present,96.8,Class C,Chemistry,yolo-arcface,cam-classroom-02,24,147.8,2026-04-02T09:33:00Z
rec-000184,student-034,Student 34,2024-CS-034,2026-04-02,present,97.77,Class A,Physics,manual,,4,0,2026-04-02T09:19:00Z
